scenario,strategy,incremental_payers,incremental_30d_revenue,existing_ref_obligation,new_cash_rewards,free_access_infra,server_cost,external_prizes,opportunity_cost,cannibalized_revenue,fraud_reserve,baseline_commission_savings,baseline_reward_subsidy,net_incremental_contribution,break_even_incremental_payers,max_additional_reward_budget_at_$2_margin,cash_release_existing_liability
aggressive,Новые партнёры: $2 first-paid + 10% recurring,8.0,45.92,4.5920000000000005,16.0,0.0,0.4,0.0,0.0,0.0,1.0296,0.0,0.0,23.898400000000006,0.0,24.928000000000004,0.0
pessimistic,Lifecycle/winback без скидки,4.0,18.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,17.04,0.0,9.04,0.0
base,Lifecycle/winback без скидки,10.0,45.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,23.799999999999997,0.0
aggressive,Lifecycle/winback без скидки,18.0,81.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,80.1,0.0,44.099999999999994,0.0
pessimistic,Внутренний баланс + 7 дней другу,6.3,43.974000000000004,8.7948,0.0,2.3127999999999997,1.512,0.0,30.16276666666666,10.0,0.263844,0.0,27.521666666666658,-9.072210666666662,8.232648284941122,21.0672,0.0
base,Внутренний баланс + 7 дней другу,14.0,97.72,19.544,0.0,1.3719999999999999,1.68,0.0,17.89316666666667,20.0,0.58632,0.0,13.760833333333334,36.64451333333333,6.657847165160231,48.495999999999995,0.0
aggressive,Внутренний баланс + 7 дней другу,24.5,171.01000000000002,34.202000000000005,0.0,0.6941666666666666,1.225,0.0,10.863708333333333,40.0,1.0260600000000002,0.0,6.798749999999999,82.99906500000003,8.764221171403154,86.58300000000003,0.0
pessimistic,Гибрид + сезонный Doodle Route,7.7,53.746,10.749200000000002,10.675,2.3912,1.8479999999999999,0.0,31.185233333333333,10.0,1.0712100000000002,0.0,36.27166666666666,-14.173843333333338,10.7417008434574,25.748800000000003,0.0
base,Гибрид + сезонный Doodle Route,17.5,122.15,24.430000000000003,13.125,1.47,2.1,20.0,19.171249999999997,20.0,2.8777500000000007,0.0,22.51083333333333,18.976,12.966810717372514,60.620000000000005,0.0
aggressive,Гибрид + сезонный Doodle Route,31.5,219.87,43.974000000000004,16.625,0.7758333333333334,1.5750000000000002,50.0,12.141791666666666,40.0,5.52995,0.0,15.54875,49.24842500000001,20.737511665602433,111.32100000000003,0.0
